,Number of vehicles in accident,Accident Type,Person Injury? ,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?,Other
0,0,N/A,No,No,No,No,N/A,No,"Night, Clear",No,No accident occurred
1,3,"Rear-end, spin-out",Yes,No,No,Yes,"Sedan x2, SUV",No,"Snow, Day, Clear",No,Snow appears to have made the road difficult to drive on
2,6,T-Bone,Yes,Yes,Yes,Yes,"Sedan, Truck x2, SUV x3",Yes,"Day, Clear",No,"Debris is visible, sedan catches fire, very violent accident"
3,2,T-bone,Yes,Yes,No,Yes,"sedan, suv",No,"Day, Clear",No,"Although no one is visible, it is likely that there are injuries. Accident happened on intersection"
4,2,T-Bone,Yes,Yes,No,Yes,"suv, truck",No,Night,No,Night conditions make it hard to see the second vehicle
5,2,T-bone,Yes,Yes,No,Yes,"sedan, suv",No,Night,No,"Severe damage to both vehicles, and, over time, one could possible catch fire"
6,4,T-bone x2,Yes,Yes,No,Yes,"suv, sedan and sedan, suv",No,Night,No,"Two accidents occurred in this video, both of which of similar severity"
7,2,T-bone,No,No,No,Yes,"Bus, suv",No,Night,No,Bus barely t-bones sedan. Doesn't look like there was much of an impact
8,2,Light t-bone,No,No,No,Yes,Sedan x2,No,"Day, clear",No,Sedan barely scrapes other sedan. Doesn't look like there was much of an impact
9,3,T-bone,Yes,Yes,No,Yes,"truck x2, van",No,Day? Perhaps cloudy,No,Two vehicles impacted while one seems to be almost impacted.
10,2,T-bone,Yes,Yes,No,Yes,"Truck, suv",No,Day,No,
11,2,Light tap?,No,No,No,No,"Truck, suv",No,Day,No,Truck lightly taps suv and enters median. This could possibly lead to other impacts with oncoming traffic
12,2,T-bone,Yes,Yes,No,Yes,"sedan, suv",No,"Night, hard to see",No,"One sedan was a taxi, happened at a traffic light"
13,2,side-on-side collision,No,No,No,Yes,"sedan, suv",No,Day,No,"Looks to be a busy intersection, and does not look like too serious a collision compared to most accidents"
14,2,front-to-front-side collision,No,No,No,Yes,sedan x2,No,"Day, cloudy, possible rain?",No,"One sedan caused the other to spin out a little, debris was shown"
15,2,T-bone,Yes,Yes,No,Yes,sedan x2,No,Night,No,One sedan ran a red light and got hit
16,2,T-bone,Yes,Yes,No,Yes,"sedan, suv",No,"Day, cloudy",No,Sedan ran a red light
17,2,Slight tap to motorbike,Yes,Yes,No,Yes,"suv, motorbike",No,"Day, cloudy",No,"SUV seemed to hit the motorcyclist, toppling him over. No damage to the vehicles seemed to have been dealt, but the motorcyclist may need medical attention"
18,2,T-bone,Yes,Yes,Yes,Yes,"suv, sedan",No,Night,No,One vehicle spun out and engine seen smoking - could lead to a fire in the future
19,2,T-bone,Yes,Yes,No,Yes,sedan x2,No,Night,No,"Impact intensity is hard to determine, but definite t-bone collision happened"
20,2,side-on-side collision,No,No,No,Yes,"suv, sedan",No,"Day, close to sunrise/sunset",No,"suv ran a red light and got hit, but it seems that both parties braked enough to not do serious damage"
21,2,T-bone,Yes,Yes,No,Yes,"van, sedan",No,Night,No,
22,2,T-bone,Yes,Yes,No,Yes,sedan x2,No,Day,No,The side of the car hit was near the rear
23,2,T-bone,Yes,Yes,No,Yes,"sedan, 18-wheeler",No,Night,No,sedan hits the rear of 18-wheeler
24,2,T-bone,Yes,Yes,No,Yes,"suv, sedan",No,Day,No,Impact intensity seemed very high - both parties are probably injured
25,2,T-bone,Yes,Yes,No,Yes,sedan x2,No,Day,No,happened at mildly busy intersection
26,2,No clear impact,Yes,Yes,No,No,"motorbike, van",No,Day,No,"Motorcyclist reacted to van and fell off bike. However, no impact seemed to have been made"
27,2 (possibly more?),"Rear-end, spin-out",Yes,Yes,No,Yes,"police sedan, truck",No,"Day, possibly rainy?",No,"Truck rear ends police car and spins on interstate, potentially affecting many other vehicles"
28,3,T-bone,Yes,Yes,No,Yes,"suv x2, sedan",No,Day,No,suv runs red light and gets hit by other two vehicles - light impact
29,2,Rear-end,Possibly,Yes,No,yes,"Sedan, Truck",No,Day,No,truck was stopped and sedan was going too fast into a stop
30,2,Rear-end,yes,yes,No,Yes,"sedan, bus",No,"Night, possibly hard to see",No,sedan crashes into bus that was not moving
31,2,Light tap into spin-out,No,No,No,Yes,"sedan, truck",No,Day,No,truck lightly taps sedan on roundabout into spinning out
32,1 (possibly more?),spin-out,No,No,No,No,suv?,No,Night,Yes,"suv seems to spin out, but unclear if any other impact happened in the footage"
33,2,Front-end,Yes,Yes,No,Yes,"sedan, 18-wheeler?",No,Day,No,sedan seemed to be on wrong side of the road
34,2,T-bone into spin-out,Yes,Yes,No,Yes,"suv, truck",No,Night,No,sedan runs into truck and spins the truck out in the intersection
35,2,t-bone,Yes,Yes,No,Yes,sedan x2?,No,Day,No,happened at a busy intersection
36,2,t-bone,Yes,yes,No,Yes,"Sedan, truck",No,Day,No,Sedan t-bones truck
37,1,topple,No,No,No,Yes,truck,No,Day,No,"Truck seems to topple over, cause unknown, debris present"
38,7 (possibly more),t-bone,Yes,Yes,No,Yes,"bus, sedan x4, suv x2",no,Day,No,"bus crashes into sedan, resulting in snowball effect of collisions"
39,2,T-bone into spin-out,Yes,Yes,Yes,Yes,"van, 18-wheeler",yes,Day,No,"Both vehicles spin out, and one vehicle is seen smoking from the engine"
40,1,Topple,Yes,Yes,No,Yes,truck,No,Day,No,"truck seemed to have spun out and toppled over, but the cause is unknown. Debris present"
41,2,T-bone,Yes,Yes,Yes,yes,"18-wheeler, sedan",Yes,Night,No,"18-wheeler hits sedan at intersection, smoke is present"
42,2,front-end,Yes,Yes,No,Yes,"suv, sedan",No,"day, cloudy?",No,Collision looks to have happened at an intersection
43,3,Front-end,yes,Yes,No,Yes,"bus, 18-wheeler, sedan",No,Day,No,Bus hits 18-wheeler and sedan slightly at a left turn
44,2,light t-bone,Yes,Yes,No,Yes,"truck, bike",No,"Day, clear",No,"truck lightly hits cyclist, toppling him over"
45,2,t-bone,Yes,Yes,No,Yes,"suv, motorcycle",No,"Day, clear",No,"Suv crashes into motorcyclist, leading to debris. Motorcyclist needs medical attention"
46,1 (possibly more?),cause unknown,Possibly,Yes,No,Yes,"sedan, ??",No,"Day, clear",Yes,"footage cannot determine what happened, but sedan's bumper and front seemed damaged at intersection"
47,2,side-on-side collision,Yes,Yes,No,Yes,"suv, sedan",No,"Day, clear",No,"Although a side collision, impact still seemed great. A sign was destroyed in the process, and debris is present"
48,2,T-bone,Yes,Yes,No,Yes,"suv, police sedan",No,Day,No,suv crashes into police sedan (that was stopped) at an intersection
49,2,Front-end,Yes,Yes,No,Yes,"Suv, bike",No,Day,No,"Suv and bicyclist crash. Although cyclist was seem walking, medical attention is needed. Happened at busy area"
50,2,"Light tap, front side on front side",No,No,No,Yes,suv x2,No,"Day, possibly cloudy",No,Both suvs seemed to lightly tap each other on the intersection
51,2,light tap into side,No,No,No,No,"sedan, bike",No,Day,No,Cyclist hits the sedan at an intersection lightly
52,2,t-bone,Yes,Yes,No,Yes,"suv, sedan",No,"Day, cloudy",No,Happened at an intersection
53,2,t-bone (angled),No,No,No,Yes,industrial truck x2,No,"Day, cloudy",No,Happened at an intersection
54,2,t-bone (angled),Yes,Yes,Yes,Yes,"18-wheeler, suv",Yes,"Day, cloudy",No,"Truck is seen smoking, happened at vacant intersection"
55,2,light t-bone,No,No,No,Yes,sedan x2,No,"Day, clear",No,Light tap in intersection
56,2,light t-bone,Possibly,Yes,No,Yes,"van, motorbike",No,Day,No,"Light tap from van to motorcyclist, toppling motorcyclist"
57,2,light tap,No,No,No,No,"truck, sedan",No,Night,No,"Light tap from truck, accident did not seem very serious"
